old_index,zip,locale,city,city_code,lat,lng,dist_to_centre
48,SE8,Deptford,"London, UK",LDN,51.48240280151367,-0.02970699965953827,6.968410481709398
49,SE10,Greenwich,"London, UK",LDN,51.48637008666992,0.0018949999939650297,9.0020114138953
50,SE11,Lambeth,"London, UK",LDN,51.489200592041016,-0.11219500005245209,1.5581756515878051
51,SE12,"Lee, Grove Park","London, UK",LDN,51.44417953491211,0.020155999809503555,11.897343155683874
52,SE13,"Lewisham, Hither Green","London, UK",LDN,51.45866394042969,-0.009616999886929989,9.3008413411379
53,SE14,"New Cross, New Cross Gate","London, UK",LDN,51.475704193115234,-0.042337000370025635,6.413711519086314
54,SE15,"Peckham, Nunhead","London, UK",LDN,51.4712028503418,-0.06351300328969955,5.405988638527207
55,SE16,"Rotherhithe, South Bermonsey, Surrey Docks","London, UK",LDN,51.49669647216797,-0.05040900036692619,5.2630117084463635
56,SE17,"Walworth, Elephant & Castle","London, UK",LDN,51.4877815246582,-0.09370700269937515,2.638872286540204
57,SE20,"Penge, Anerley","London, UK",LDN,51.411964416503906,-0.06035099923610687,10.8165720787595
58,SE21,Dulwich,"London, UK",LDN,51.44071578979492,-0.08602699637413025,7.1719274725254065
59,SE22,East Dulwich,"London, UK",LDN,51.454002380371094,-0.07086499780416489,6.406185354843443
60,SE23,Forest Hill,"London, UK",LDN,51.44256591796875,-0.04882799834012985,8.351611461431652
61,SE24,Herne Hill,"London, UK",LDN,51.45440673828125,-0.09988000243902206,5.404280133255509
62,SE25,South Norwood,"London, UK",LDN,51.397403717041016,-0.07601399719715118,11.943474006179764
63,SE26,Sydenham,"London, UK",LDN,51.42759323120117,-0.05484599992632866,9.46334906698094
64,SE27,"West Norwood, Tulse Hill","London, UK",LDN,51.4305305480957,-0.10243900120258331,7.915185908441959
65,SW1,"Westminster, Belgravia, Pimlico","London, UK",LDN,51.500152587890625,-0.12623600661754608,7.073230889886872e-13
66,SW2,"Brixton, Streatham Hill","London, UK",LDN,51.448272705078125,-0.11964999884366989,5.78678560534471
67,SW3,"Chelsea, Brompton","London, UK",LDN,51.48828887939453,-0.16556000709533691,3.025152903585923
68,SW4,Clapham,"London, UK",LDN,51.460205078125,-0.13932299613952637,4.533470887863652
69,SW5,Earls Court,"London, UK",LDN,51.49147033691406,-0.1929599940776825,4.718901633047731
70,SW6,"Fulham, Parsons Green","London, UK",LDN,51.4752197265625,-0.20270299911499023,5.976461096537339
71,SW7,South Kensington,"London, UK",LDN,51.49781799316406,-0.17622800171375275,3.4702695270442185
72,SW8,"South Lambeth, Nine Elms","London, UK",LDN,51.47776412963867,-0.1354999989271164,2.5707851702203697
73,SW9,"Stockwell, Brixton","London, UK",LDN,51.46928024291992,-0.11376799643039703,3.53974384142429
74,SW10,"West Brompton, Worlds End","London, UK",LDN,51.48305892944336,-0.18298399448394775,4.364469646224503
75,SW11,"Battersea, Clapham Junction","London, UK",LDN,51.46775817871094,-0.16564300656318665,4.51896599391757
76,SW12,Balham,"London, UK",LDN,51.4455451965332,-0.14888200163841248,6.27137650979238
77,SW13,"Barnes, Castelnau","London, UK",LDN,51.476837158203125,-0.24026399850845337,8.309835417703882
78,SW14,"Mortlake, East Sheen","London, UK",LDN,51.462677001953125,-0.267985999584198,10.663888707356335
79,SW15,"Putney, Roehampton","London, UK",LDN,51.45094680786133,-0.23882199823856354,9.525573263932733
80,SW16,"Streatham, Norbury","London, UK",LDN,51.42034149169922,-0.12836599349975586,8.875815779633026
81,SW17,Tooting,"London, UK",LDN,51.4310417175293,-0.16614499688148499,8.166936044135959
82,SW18,"Wandsworth, Earlsfield","London, UK",LDN,51.45048522949219,-0.18986700475215912,7.065555921350139
83,SW19,"Wimbledon, Merton","London, UK",LDN,51.42543411254883,-0.20842599868774414,10.072153041095214
84,W1,"Mayfair, Marylebone, Soho","London, UK",LDN,51.510530830996515,-0.13713133568269378,9.611246430666371
85,W2,"Bayswater, Paddington","London, UK",LDN,51.513797760009766,-0.17925399541854858,3.970690542664002
86,W3,Acton,"London, UK",LDN,51.51191711425781,-0.26936599612236023,9.992211751981507
87,W4,Chiswick,"London, UK",LDN,51.48826217651367,-0.2635889947414398,9.600324291738355
88,W6,Hammersmith,"London, UK",LDN,51.49254608154297,-0.22862300276756287,7.138130325352965
89,W8,Kensington,"London, UK",LDN,51.5020866394043,-0.19374899566173553,4.678111599385294
90,W9,"Maida Vale, Warwick Avenue","London, UK",LDN,51.526790618896484,-0.19226600229740143,5.445347292228256
91,W10,"Ladbroke Grove, North Kensington","London, UK",LDN,51.52296447753906,-0.21659399569034576,6.747934545023804
92,W11,"Notting Hill, Holland Park","London, UK",LDN,51.51173782348633,-0.20733100175857544,5.758638874185914
93,W12,Shepherds Bush,"London, UK",LDN,51.51014709472656,-0.23575299978256226,7.660996726081461
94,W14,West Kensington,"London, UK",LDN,51.49543380737305,-0.20997300744056702,5.820294359992757
95,10453,Central Bronx,"New York City, New York, USA",NYC,40.85267639160156,-73.90956115722656,14.553792867018325
96, 10457,Central Bronx,"New York City, New York, USA",NYC,40.84897232055664,-73.89930725097656,14.553792867018325
97, 10460,Central Bronx,"New York City, New York, USA",NYC,40.84177017211914,-73.88048553466797,14.553792867018325
98,10458,Bronx Park and Fordham,"New York City, New York, USA",NYC,40.8605842590332,-73.90254211425781,18.62318064788847
99, 10467,Bronx Park and Fordham,"New York City, New York, USA",NYC,40.71304702758789,-74.00723266601562,18.62318064788847
100, 10468,Bronx Park and Fordham,"New York City, New York, USA",NYC,40.8605842590332,-73.90254211425781,18.62318064788847
101,10451,High Bridge and Morrisania,"New York City, New York, USA",NYC,40.82828903198242,-73.90704345703125,15.342448772761436
102, 10452,High Bridge and Morrisania,"New York City, New York, USA",NYC,40.82828903198242,-73.90704345703125,15.342448772761436
103, 10456,High Bridge and Morrisania,"New York City, New York, USA",NYC,40.82828903198242,-73.90704345703125,15.342448772761436
